,ANO_ELEICAO,SIGLA_UE,NOME_UE,CODIGO_CARGO,DESCRICAO_CARGO,QTDE_VAGAS
78,2018,AL,ALAGOAS,7,Deputado Estadual,27
79,2018,AL,ALAGOAS,6,Deputado Federal,9
80,2018,AL,ALAGOAS,5,Senador,2
81,2018,AL,ALAGOAS,3,Governador,1
82,2018,SP,SÃO PAULO,7,Deputado Estadual,94
83,2018,SP,SÃO PAULO,6,Deputado Federal,70
84,2018,SP,SÃO PAULO,5,Senador,2
85,2018,SP,SÃO PAULO,3,Governador,1
86,2018,PA,PARÁ,7,Deputado Estadual,41
87,2018,PA,PARÁ,6,Deputado Federal,17
88,2018,PA,PARÁ,5,Senador,2
89,2018,PA,PARÁ,3,Governador,1
90,2018,SC,SANTA CATARINA,7,Deputado Estadual,40
91,2018,SC,SANTA CATARINA,6,Deputado Federal,16
92,2018,SC,SANTA CATARINA,5,Senador,2
93,2018,SC,SANTA CATARINA,3,Governador,1
94,2018,RR,RORAIMA,7,Deputado Estadual,24
95,2018,RR,RORAIMA,6,Deputado Federal,8
96,2018,RR,RORAIMA,5,Senador,2
97,2018,RR,RORAIMA,3,Governador,1
98,2018,AM,AMAZONAS,7,Deputado Estadual,24
99,2018,AM,AMAZONAS,6,Deputado Federal,8
100,2018,AM,AMAZONAS,5,Senador,2
101,2018,AM,AMAZONAS,3,Governador,1
102,2018,RS,RIO GRANDE DO SUL,7,Deputado Estadual,55
103,2018,RS,RIO GRANDE DO SUL,6,Deputado Federal,31
104,2018,RS,RIO GRANDE DO SUL,5,Senador,2
105,2018,RS,RIO GRANDE DO SUL,3,Governador,1
106,2018,RO,RONDÔNIA,7,Deputado Estadual,24
107,2018,RO,RONDÔNIA,6,Deputado Federal,8
108,2018,RO,RONDÔNIA,5,Senador,2
109,2018,RO,RONDÔNIA,3,Governador,1
0,2010,SC,SANTA CATARINA,3,GOVERNADOR,1
1,2010,SC,SANTA CATARINA,5,SENADOR,2
2,2010,SC,SANTA CATARINA,6,DEPUTADO FEDERAL,16
3,2010,SC,SANTA CATARINA,7,DEPUTADO ESTADUAL,40
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,MT,MATO GROSSO,3,Governador,1
2,2018,MT,MATO GROSSO,5,Senador,2
3,2018,MT,MATO GROSSO,6,Deputado Federal,8
4,2018,MT,MATO GROSSO,7,Deputado Estadual,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,ES,ESPÍRITO SANTO,3,Governador,1
2,2018,ES,ESPÍRITO SANTO,5,Senador,2
3,2018,ES,ESPÍRITO SANTO,6,Deputado Federal,10
4,2018,ES,ESPÍRITO SANTO,7,Deputado Estadual,30
0,2014,SE,SERGIPE,3,Governador,1
1,2014,SE,SERGIPE,4,Vice-governador,1
2,2014,SE,SERGIPE,5,Senador,1
3,2014,SE,SERGIPE,6,Deputado Federal,8
4,2014,SE,SERGIPE,7,Deputado Estadual,24
5,2014,SE,SERGIPE,9,1. Suplente,1
6,2014,SE,SERGIPE,10,2. Suplente,1
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,RR,RORAIMA,3,Governador,1
2,2018,RR,RORAIMA,5,Senador,2
3,2018,RR,RORAIMA,6,Deputado Federal,8
4,2018,RR,RORAIMA,7,Deputado Estadual,24
0,2002,ES,ESPIRITO SANTO,3,GOVERNADOR,1
1,2002,ES,ESPIRITO SANTO,5,SENADOR,2
2,2002,ES,ESPIRITO SANTO,6,DEPUTADO FEDERAL,10
3,2002,ES,ESPIRITO SANTO,7,DEPUTADO ESTADUAL,30
0,2010,ES,ESPÍRITO SANTO,3,GOVERNADOR,1
1,2010,ES,ESPÍRITO SANTO,5,SENADOR,2
2,2010,ES,ESPÍRITO SANTO,6,DEPUTADO FEDERAL,10
3,2010,ES,ESPÍRITO SANTO,7,DEPUTADO ESTADUAL,30
0,2002,AM,AMAZONAS,3,GOVERNADOR,1
1,2002,AM,AMAZONAS,5,SENADOR,2
2,2002,AM,AMAZONAS,6,DEPUTADO FEDERAL,8
3,2002,AM,AMAZONAS,7,DEPUTADO ESTADUAL,24
0,2010,PE,PERNAMBUCO,3,GOVERNADOR,1
1,2010,PE,PERNAMBUCO,5,SENADOR,2
2,2010,PE,PERNAMBUCO,6,DEPUTADO FEDERAL,25
3,2010,PE,PERNAMBUCO,7,DEPUTADO ESTADUAL,49
0,2014,RS,RIO GRANDE DO SUL,3,Governador,1
1,2014,RS,RIO GRANDE DO SUL,4,Vice-governador,1
2,2014,RS,RIO GRANDE DO SUL,5,Senador,1
3,2014,RS,RIO GRANDE DO SUL,6,Deputado Federal,31
4,2014,RS,RIO GRANDE DO SUL,7,Deputado Estadual,55
5,2014,RS,RIO GRANDE DO SUL,9,1. Suplente,1
6,2014,RS,RIO GRANDE DO SUL,10,2. Suplente,1
0,1998,MA,MARANHÃO,3,GOVERNADOR,1
1,1998,MA,MARANHÃO,5,SENADOR,1
2,1998,MA,MARANHÃO,6,DEPUTADO FEDERAL,18
3,1998,MA,MARANHÃO,7,DEPUTADO ESTADUAL,42
0,2014,DF,DISTRITO FEDERAL,3,Governador,1
1,2014,DF,DISTRITO FEDERAL,4,Vice-governador,1
2,2014,DF,DISTRITO FEDERAL,5,Senador,1
3,2014,DF,DISTRITO FEDERAL,6,Deputado Federal,8
4,2014,DF,DISTRITO FEDERAL,8,Deputado Distrital,24
5,2014,DF,DISTRITO FEDERAL,9,1. Suplente,1
6,2014,DF,DISTRITO FEDERAL,10,2. Suplente,1
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,RO,RONDÔNIA,3,Governador,1
2,2018,RO,RONDÔNIA,5,Senador,2
3,2018,RO,RONDÔNIA,6,Deputado Federal,8
4,2018,RO,RONDÔNIA,7,Deputado Estadual,24
0,2010,SE,SERGIPE,3,GOVERNADOR,1
1,2010,SE,SERGIPE,5,SENADOR,2
2,2010,SE,SERGIPE,6,DEPUTADO FEDERAL,8
3,2010,SE,SERGIPE,7,DEPUTADO ESTADUAL,24
0,2014,PI,PIAUÍ,3,Governador,1
1,2014,PI,PIAUÍ,4,Vice-governador,1
2,2014,PI,PIAUÍ,5,Senador,1
3,2014,PI,PIAUÍ,6,Deputado Federal,10
4,2014,PI,PIAUÍ,7,Deputado Estadual,30
5,2014,PI,PIAUÍ,9,1. Suplente,1
6,2014,PI,PIAUÍ,10,2. Suplente,1
0,2014,GO,GOIÁS,3,Governador,1
1,2014,GO,GOIÁS,4,Vice-governador,1
2,2014,GO,GOIÁS,5,Senador,1
3,2014,GO,GOIÁS,6,Deputado Federal,17
4,2014,GO,GOIÁS,7,Deputado Estadual,41
5,2014,GO,GOIÁS,9,1. Suplente,1
6,2014,GO,GOIÁS,10,2. Suplente,1
0,2014,SP,SÃO PAULO,3,Governador,1
1,2014,SP,SÃO PAULO,4,Vice-governador,1
2,2014,SP,SÃO PAULO,5,Senador,1
3,2014,SP,SÃO PAULO,6,Deputado Federal,70
4,2014,SP,SÃO PAULO,7,Deputado Estadual,94
5,2014,SP,SÃO PAULO,9,1. Suplente,1
6,2014,SP,SÃO PAULO,10,2. Suplente,1
0,2002,CE,CEARA,3,GOVERNADOR,1
1,2002,CE,CEARA,5,SENADOR,2
2,2002,CE,CEARA,6,DEPUTADO FEDERAL,22
3,2002,CE,CEARA,7,DEPUTADO ESTADUAL,46
0,2006,RJ,RIO DE JANEIRO,3,GOVERNADOR,1
1,2006,RJ,RIO DE JANEIRO,5,SENADOR,1
2,2006,RJ,RIO DE JANEIRO,6,DEPUTADO FEDERAL,46
3,2006,RJ,RIO DE JANEIRO,7,DEPUTADO ESTADUAL,70
0,2014,BR,BRASIL,1,Presidente,1
1,2014,BR,BRASIL,2,Vice-presidente,1
0,2002,RJ,RIO DE JANEIRO,3,GOVERNADOR,1
1,2002,RJ,RIO DE JANEIRO,5,SENADOR,2
2,2002,RJ,RIO DE JANEIRO,6,DEPUTADO FEDERAL,46
3,2002,RJ,RIO DE JANEIRO,7,DEPUTADO ESTADUAL,70
0,2010,MG,MINAS GERAIS,3,GOVERNADOR,1
1,2010,MG,MINAS GERAIS,5,SENADOR,2
2,2010,MG,MINAS GERAIS,6,DEPUTADO FEDERAL,53
3,2010,MG,MINAS GERAIS,7,DEPUTADO ESTADUAL,77
0,2002,GO,GOIAS,3,GOVERNADOR,1
1,2002,GO,GOIAS,5,SENADOR,2
2,2002,GO,GOIAS,6,DEPUTADO FEDERAL,17
3,2002,GO,GOIAS,7,DEPUTADO ESTADUAL,41
0,1998,BR,Brasil,1,Presidente,1
1,2002,BR,Brasil,1,Presidente,1
2,2006,BR,Brasil,1,Presidente,1
3,2010,BR,Brasil,1,Presidente,1
4,2014,BR,Brasil,1,Presidente,1
